1596854720375180_1596855827041736,   أخاف أن ينتهي هذا العالم و لم نلتقي ؛ فنحن لم نتشارك كوب قهوه ولا حتى جمعتنا صوره فوتغرافيه !,-1
1596838907043428_1596846143709371, _  بقتله بس بتطلعش يعني لما انحط تحت الموقف مش حقعد ازعك متل سيارة الاطفاء,-1
1596164447110874_1596259907101328,🐸🐸🐸🚬,-1
1596328670427785_1596366287090690,👴👵 هيهم مش صلع,-1
1596328670427785_1596352470425405,🤠 هاد الو شعر بس لابس طاقيه 😂,-1
1596887753705210_1596888227038496,😂 ايش الهبل هاد واضح بدها تستغلك 😂,-1
1596372243756761_1596386650421987,😂😂,-1
1596328670427785_1596348383759147,😂😂😂,-1
1596838907043428_1596854457041873,😂😂😂 شوقرا,-1
1596854720375180_1596859910374661,😂😂😂👇,-1
1596308140429838_1596833943710591,😂😂😂🤣🤣,-1
1596372243756761_1596422037085115,😂😂😂😂,-1
1596308140429838_1596312603762725,😂😂😂😂,-1
1596308140429838_1596312823762703,😂😂😂😂,-1
1596116870448965_1596271290433523,😂😂😂😂,-1
1596308140429838_1596324587094860,😂😂😂😂😂,-1
1596308140429838_1596309953762990,😂😂😂😂😂,-1
1596126553781330_1596252260435426,😂😂😂😂😂,-1
1596442873749698_1596474790413173,😂😂😂😂😂😂,-1
1596372243756761_1596380610422591,😂😂😂😂😂😂,-1
1596308140429838_1596309593763026,😂😂😂😂😂😂 مبيخك,-1
1596308140429838_1596309360429716,😂😂😂😂😂😂😂,-1
1596308140429838_1596326760427976,😂😂😂😂😂😂😂,-1
1596116870448965_1596215373772448,😂😂😂😂😂😂😂,-1
1596308140429838_1596743220386330,😂😂😂😂😂😂😂 ركزي ع المقطع الي بالنص تناغشت والتعليقات😌 Lama Qutit Ghaida Najem,-1
1596308140429838_1596312237096095,😂😂😂😂😂😂😂💔 مجنونه,-1
1596308140429838_1596312480429404,😂😂😂😂😂😂😂😂,-1
1596308140429838_1596386823755303,😂😂😂😂😂😂😂😂😂😂,-1
1596887753705210_1596890010371651,😂😂😂😂😂😂😂😂😂😂😂 شو حلوة هالقصة  😂😂😂😂😂,-1
1596308140429838_1596313027096016,😂😂😂😂😂😂فكرت انو صار حدث طارئ ..طلعت عادي بلاخير ..وبعدين شو استفدنا نحنا 🤔,-1
1596838907043428_1596841430376509,😂😂😂😂😂😂في منهم هدول 💔💔,-1
1596144183779567_1596391723754813,😂😂محدا بحط مكياج ظلمتونا  والاشكال الي بنشوفها من وين  انا بحط مكياج عادي,-1
1596308140429838_1596366560423996,😏😏 مخف دمك,-1
1596778420382810_1596814693712516,😑,-1
1596328670427785_1596440200416632,😑😒,-1
1596854720375180_1596863690374283,😒,-1
1596308140429838_1596309823763003,😒,-1
1596838907043428_1596841240376528,😒😒,-1
1596767033717282_1596769277050391,😢😢,-1
1596887753705210_1596888910371761,😳,-1
1596308140429838_1596309527096366,😹😹😹اللله يوخدك😹,-1
1596328670427785_1596329727094346,🙅🏻🙅🏻🙅🏻 مش صلع😂,-1
1596328670427785_1596340967093222,🙆,-1
